Josef Fruehwald, 21, m, w, 15, Philadelphia, 2006

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
UW	1	DO	470.4	1384.4	2485.9	96.4	198.6	755.5	21.014	21.007	21.106	0.099	73	0	0	0	3	0			457.3	1322.0	454.4	1250.3	472.9	1232.3	466.0	1390.0	451.9	1387.8	5
UW	1	DO	445.2	1588.2	1756.5	119.7	111.4	1760.8	21.394	21.387	21.537	0.15	73	0	0	0	3	0			479.3	1488.0	488.5	1280.2	430.8	1193.3	455.6	1244.7	455.1	1244.9	6
AA	1	ARE	615.2	990.8	2524.4	58.9	100.9	219.0	22.356	22.296	22.476	0.18	44	6	4	2	0	0			583.5	909.2	617.1	1002.8	644.1	1133.8	615.2	1157.2	570.4	1182.0	3
ER	1	WORKING	549.4	1380.8	1965.1	107.4	97.9	695.6	22.866	22.846	22.906	0.06	94	1	6	1	9	1			538.8	1380.4	551.0	1381.4	535.8	1403.5	499.0	1455.1	473.5	1463.3	5
IH	0	WORKING	537.4	1676.1	2033.8	106.8	1249.8	246.7	22.993	22.976	23.026	0.05	1	4	6	2	6	0			525.3	1659.5	537.4	1676.1	539.5	1605.1	525.6	1339.0	522.7	1236.1	6
AO	1	OR	411.0	710.4	2031.6	76.4	97.7	254.6	23.183	23.126	23.296	0.17	64	6	4	2	0	0			453.3	706.7	412.8	709.0	497.4	727.0	463.5	836.6	486.9	975.4	3
OW	1	OKAY	568.7	1179.9	1801.6	90.9	239.8	310.5	24.637	24.607	24.727	0.12	62	1	6	1	0	1			577.7	1201.3	570.0	1182.2	600.7	1225.2	595.5	1284.5	565.1	1178.8	6
OW	1	OKAY	510.6	1045.1	2042.3	137.9	295.0	634.9	25.21	25.187	25.287	0.1	62	1	6	1	0	1			514.8	1049.7	526.9	1075.6	508.3	1084.6	490.6	1079.9	514.8	1086.1	6
EY	1	OKAY	583.2	1522.0	2128.2	115.8	280.8	579.2	25.367	25.347	25.457	0.11	22	0	0	0	6	0			582.6	1522.6	569.0	1536.1	544.0	1457.9	547.8	1512.6	583.8	1545.8	5
AH	1	WHAT'S	551.9	1385.5	3207.2	82.3	143.2	581.1	26.476	26.429	26.569	0.14	6	1	4	1	9	3			562.9	1444.2	548.6	1374.5	532.4	1352.9	543.4	1410.2	535.6	1406.1	5
IH	1	HERE	439.2	1999.7	3303.8	176.8	178.1	858.4	28.169	28.136	28.236	0.1	14	6	4	2	0	0			429.3	2039.9	442.9	1993.4	503.2	1981.1	535.1	1853.8	522.1	1854.2	3
EH	1	WELL	573.0	1283.5	1901.3	106.1	142.1	1308.6	33.363	33.346	33.396	0.05	2	5	4	2	9	0			559.1	1317.1	573.0	1283.5	593.3	1244.3	600.2	1224.3	613.9	1206.7	6
AH	0	JUST	428.0	1951.8	3378.3	36.3	405.9	1068.8	33.663	33.646	33.696	0.05	6	3	4	1	5	3			427.0	1923.7	428.0	1951.8	429.0	1993.7	429.6	1973.8	430.0	1910.9	4
AH	1	UM	686.3	1322.5	2816.2	63.6	349.9	508.8	34.322	34.229	34.509	0.28	6	4	1	2	0	0			672.9	1325.5	687.3	1328.6	639.7	1282.5	652.5	1353.1	645.7	1162.0	5
AY	1	I	653.4	1417.5	2211.5	53.6	104.9	708.0	34.758	34.639	34.879	0.24	41	0	0	0	0	0		m	595.5	1293.9	605.6	1385.4	654.9	1418.3	631.2	1489.8	607.1	1435.2	6
AY	1	I	628.3	1379.8	2475.6	68.9	153.6	768.9	34.944	34.929	35.029	0.1	41	0	0	0	0	0		s	626.3	1406.4	595.5	1498.9	550.5	1578.8	519.7	1634.4	475.4	1637.6	5
AY	1	I	662.6	1330.6	2906.6	58.5	151.6	1264.6	35.283	35.199	35.459	0.26	41	0	0	0	0	0			636.8	1277.1	653.5	1326.0	592.1	1501.8	594.6	1534.3	609.3	1604.3	5
AY	1	I	686.5	1402.4	3227.3	44.9	118.8	725.3	35.464	35.459	35.549	0.09	41	0	0	0	0	0		s	661.5	1364.2	613.0	1416.1	609.0	1499.0	630.2	1551.9	640.5	1595.0	5
AE	1	HAVE	570.8	1582.4	2420.4	94.8	168.1	916.4	35.606	35.579	35.659	0.08	3	3	2	2	0	0			596.7	1634.9	569.4	1578.4	562.9	1558.5	571.5	1550.3	577.8	1531.1	5
AH	1	BUT	535.6	1422.0	2642.0	81.1	109.7	396.8	36.272	36.229	36.359	0.13	6	1	4	1	1	0			505.2	1306.8	534.6	1438.5	482.2	1501.6	468.3	1539.7	502.9	1523.9	5
AH	1	BUT	505.4	1273.9	2666.8	46.9	63.2	126.4	36.509	36.479	36.569	0.09	6	1	4	1	1	0			505.2	1188.8	506.6	1282.4	518.2	1375.3	496.0	1463.2	475.7	1524.7	5
IH	1	REALLY	441.0	1588.5	1962.6	98.2	114.9	549.9	37.202	37.179	37.249	0.07	1	5	4	2	7	1			466.6	1558.7	441.3	1599.0	446.9	1623.7	445.7	1583.0	554.5	1532.6	6
IY	0	REALLY	388.2	1589.6	2708.7	75.3	219.4	363.0	37.349	37.329	37.389	0.06	12	0	0	0	7	0			400.4	1597.6	386.2	1586.0	378.6	1545.0	379.5	1532.8	380.1	1541.3	5
AE	1	THAT'S	563.1	1614.2	3357.3	180.8	213.1	507.4	42.111	42.071	42.191	0.12	3	1	4	1	3	3			624.8	1617.8	569.2	1622.0	659.1	1830.4	566.8	1923.1	539.4	1804.4	4
AW	1	HOW	780.2	1653.0	2769.0	172.0	270.0	174.5	43.235	43.224	43.274	0.05	42	0	0	0	0	0			780.2	1653.0	781.7	1634.9	777.9	1617.2	794.4	1593.3	849.2	1548.6	4
AW	1	HOW	710.7	1203.2	2096.4	98.0	234.1	943.2	43.436	43.414	43.544	0.13	42	0	0	0	0	0			712.2	1174.6	760.2	1181.9	648.9	1145.9	611.0	1132.0	607.2	1157.9	6
OW	1	OLD	506.0	903.0	2380.2	265.6	122.7	575.7	43.561	43.544	43.614	0.07	62	5	4	2	0	3			531.5	922.4	525.2	848.8	576.2	836.5	595.2	899.3	567.0	943.8	6
ER	0	ARE	518.1	1325.5	2281.6	51.9	182.4	197.0	43.711	43.684	43.764	0.08	94	0	0	0	0	0			518.0	1286.7	517.5	1331.6	503.1	1429.8	473.5	1492.6	469.8	1446.8	6
UW	1	YOU	464.1	1739.0	2585.3	105.1	216.4	1029.6	43.821	43.794	43.874	0.08	82	0	0	0	9	0			491.2	1773.4	461.5	1736.0	433.4	1731.8	440.0	1698.6	490.0	1532.7	5
AW	1	WOW	520.9	1285.3	1772.7	98.6	159.2	1488.0	52.211	52.188	52.278	0.09	42	0	0	0	9	0			525.1	1281.9	523.4	1268.4	534.2	1200.2	538.8	1147.1	536.7	1129.4	6
IH	1	DID	435.9	1658.4	2115.8	237.6	385.4	702.6	83.069	83.042	83.122	0.08	1	1	4	2	3	0			462.6	1642.2	430.6	1657.5	396.1	1626.5	384.9	1646.4	401.3	1693.9	6
AW	1	WOW	599.4	1513.3	2807.5	161.4	308.3	369.1	86.668	86.656	86.766	0.11	42	0	0	0	9	0			630.2	1434.2	602.7	1440.4	622.8	1492.0	837.1	1580.7	711.2	1504.3	5
AH	0	MHM	467.7	1172.2	2454.5	161.0	580.0	953.4	88.809	88.792	88.842	0.05	6	4	1	2	0	4			464.5	1180.7	467.7	1172.2	477.2	1152.3	475.5	1124.5	455.6	1122.1	5
AH	1	HUH	413.7	1276.2	1716.7	154.5	597.6	416.8	146.413	146.36	146.52	0.16	6	0	0	0	0	0			422.5	1162.7	415.3	1272.7	402.9	1130.5	362.2	1091.5	348.7	1164.3	6
AH	1	UH	481.8	1321.6	2941.8	194.6	394.0	975.2	167.181	167.144	167.254	0.11	6	0	0	0	0	0			488.1	1325.9	482.3	1317.8	523.0	1318.5	635.8	1320.1	581.7	1355.0	5
AE	1	YEAH	563.7	1825.6	3344.0	177.3	307.2	987.5	174.131	174.088	174.218	0.13	3	0	0	0	9	0			543.0	1820.4	558.6	1821.6	521.3	1753.0	541.2	1856.4	567.0	1775.0	4
IH	1	IS	484.2	1649.3	2644.2	103.2	262.8	986.9	174.634	174.614	174.674	0.06	1	3	4	2	0	0			487.4	1643.0	483.8	1648.5	479.8	1666.3	473.1	1656.7	458.4	1642.7	5
ER	0	ELEANOR	475.5	1103.1	1995.1	61.5	198.0	523.3	175.121	175.094	175.174	0.08	94	0	0	0	4	0			468.0	1108.5	476.6	1097.6	483.6	1130.4	475.6	1227.8	450.6	1217.0	6
AH	1	HUH	567.3	1356.5	2187.5	134.0	584.9	1088.9	180.482	180.452	180.542	0.09	6	0	0	0	0	0			563.2	1355.5	566.0	1351.6	556.1	1385.3	609.6	1584.5	578.4	1637.1	5
AH	1	HUH	510.6	1228.4	1934.1	123.7	319.8	524.4	207.337	207.304	207.404	0.1	6	0	0	0	0	0			531.9	1235.7	509.9	1242.6	519.7	1227.1	522.1	1221.7	517.6	1244.7	6
AE	1	YEAH	584.9	1690.4	2954.2	251.5	213.3	2440.9	231.553	231.51	231.64	0.13	3	0	0	0	9	0			571.3	1686.7	587.7	1684.0	576.0	1604.1	612.5	1621.7	630.9	1567.1	5
AY	1	I'VE	622.6	1311.9	3027.1	180.4	315.1	445.8	231.843	231.81	231.92	0.11	41	3	2	2	0	0		s	688.9	1457.0	590.8	1279.6	562.9	1342.8	536.4	1401.3	527.8	1446.9	5
IY	1	SEEN	386.9	2165.6	3421.1	276.3	191.4	500.2	232.07	232.04	232.13	0.09	11	4	4	2	3	0			378.1	2060.1	389.9	2169.5	434.1	2157.4	442.1	2136.2	415.8	2148.3	4
AE	1	YEAH	480.5	1911.2	3098.2	236.6	793.5	918.7	260.051	260.024	260.104	0.08	3	0	0	0	9	0			493.4	2049.1	479.4	1893.7	470.5	1740.3	484.3	1780.1	489.0	1756.3	4
AY	1	NICE	535.7	1326.8	2906.8	30.6	98.0	512.4	288.317	288.286	288.416	0.13	47	3	4	1	4	0		s	535.5	1320.6	529.0	1343.6	525.4	1370.7	531.3	1417.6	496.2	1436.2	5
AE	1	YEAH	584.9	1757.0	2336.2	67.1	102.2	239.7	292.395	292.335	292.515	0.18	3	0	0	0	9	0			564.6	1810.2	585.1	1756.3	563.9	1723.6	581.8	1745.7	593.9	1324.2	6
AE	1	YEAH	536.2	1725.7	3492.8	84.6	386.0	343.2	310.822	310.779	310.909	0.13	3	0	0	0	9	0			526.6	1715.6	534.8	1719.0	517.2	1725.2	545.6	1763.5	514.3	1727.6	4
EH	1	WELL	544.7	1180.7	2002.8	44.4	265.4	381.3	311.422	311.399	311.469	0.07	2	5	4	2	9	0			544.3	1203.6	545.4	1180.4	555.3	1218.3	568.6	1238.5	574.2	1183.0	6
EH	1	WELL	554.8	1207.0	2547.9	50.1	327.2	273.9	311.989	311.969	312.029	0.06	2	5	4	2	9	0			545.2	1150.4	555.7	1213.7	558.1	1240.0	552.3	1239.0	556.2	1207.0	5
OW	1	NO	588.5	1419.0	2782.0	95.6	108.4	144.2	312.307	312.249	312.479	0.23	63	0	0	0	4	0			585.2	1452.7	553.3	1314.9	646.8	1241.6	551.7	1181.2	622.4	1229.3	5
ER	0	WERE	450.0	1422.6	2247.7	119.2	175.2	590.4	312.656	312.629	312.709	0.08	94	0	0	0	9	0			510.6	1452.9	440.7	1421.5	380.7	1424.6	381.7	1451.6	381.1	1423.8	6
AH	1	THE	489.4	1490.3	2640.3	55.4	89.0	355.8	312.826	312.769	312.939	0.17	6	0	0	0	3	0			487.5	1525.1	488.7	1487.5	465.4	1465.9	455.1	1424.1	455.8	1426.5	5
AY	1	CHILD	652.4	1173.9	2195.6	109.9	342.2	534.2	313.559	313.519	313.599	0.08	41	5	4	2	5	3		m	603.1	1365.2	640.8	1253.2	652.4	1173.9	634.7	1197.9	632.7	1238.0	6
EY	1	BABY	441.2	2022.3	2455.9	32.9	113.4	375.4	315.612	315.529	315.769	0.24	21	1	1	2	1	1			435.7	1908.9	441.2	2028.3	396.6	2124.7	332.2	2109.9	365.8	1891.6	3
IY	0	BABY	460.9	2336.0	3709.2	427.4	159.8	678.0	315.822	315.789	315.889	0.1	12	0	0	0	1	0			418.6	2332.5	471.3	2333.0	491.3	2292.5	426.3	2287.9	419.8	2295.3	3
